time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000017
0.010000,0.000000,0.000013,0.000002,0.003341
0.015000,0.000000,0.000033,0.000005,0.003344
0.020000,0.000000,-0.000015,0.000011,-0.003529
0.025000,0.000000,-0.000036,0.000015,-0.003521
0.030000,0.000000,-0.000049,0.000013,-0.003466
0.035000,0.000000,-0.000070,-0.000000,-0.003474
0.040000,0.000000,-0.000063,-0.000027,-0.002365
0.045000,-0.000000,-0.000077,-0.000067,-0.002407
0.050000,-0.000001,-0.000067,-0.000115,-0.001587
0.055000,-0.000001,-0.000076,-0.000164,-0.001646
0.060000,-0.000002,-0.000300,-0.000210,-0.009433
0.065000,-0.000003,-0.000356,-0.000249,-0.009486
0.070000,-0.000005,-0.000308,-0.000278,-0.006840
0.075000,-0.000006,-0.000349,-0.000294,-0.006867
0.080000,-0.000008,-0.000001,-0.000299,0.003367
0.085000,-0.000009,0.000020,-0.000297,0.003369
0.090000,-0.000011,0.000423,-0.000297,0.012917
0.095000,-0.000012,0.000501,-0.000305,0.012915
0.100000,-0.000014,0.000749,-0.000323,0.017273
0.105000,-0.000015,0.000853,-0.000351,0.017244
0.110000,-0.000017,0.000714,-0.000382,0.012986
0.115000,-0.000019,0.000792,-0.000411,0.012947
0.120000,-0.000021,0.000877,-0.000433,0.013559
0.125000,-0.000024,0.000958,-0.000446,0.013537
0.130000,-0.000026,0.001152,-0.000449,0.015987
0.135000,-0.000028,0.001248,-0.000445,0.015987
0.140000,-0.000030,0.001387,-0.000436,0.017237
0.145000,-0.000032,0.001491,-0.000425,0.017249
0.150000,-0.000035,0.001231,-0.000414,0.012108
0.155000,-0.000037,0.001304,-0.000404,0.012120
0.160000,-0.000039,0.000285,-0.000395,-0.003783
0.165000,-0.000041,0.000263,-0.000385,-0.003772
0.170000,-0.000042,0.000255,-0.000372,-0.003664
0.175000,-0.000044,0.000233,-0.000353,-0.003644
0.180000,-0.000046,0.000526,-0.000333,0.000592
0.185000,-0.000048,0.000530,-0.000315,0.000616
0.190000,-0.000049,0.001238,-0.000300,0.009944
0.195000,-0.000051,0.001297,-0.000287,0.009960
0.200000,-0.000052,0.001669,-0.000276,0.014200
0.205000,-0.000053,0.001754,-0.000269,0.014210
0.210000,-0.000055,0.001946,-0.000264,0.015882
0.215000,-0.000056,0.002041,-0.000264,0.015884
0.220000,-0.000057,0.002401,-0.000267,0.019440
0.225000,-0.000059,0.002518,-0.000274,0.019433
0.230000,-0.000060,0.002520,-0.000283,0.018546
0.235000,-0.000061,0.002631,-0.000292,0.018535
0.240000,-0.000063,0.003213,-0.000300,0.024298
0.245000,-0.000064,0.003359,-0.000308,0.024289
0.250000,-0.000066,0.002059,-0.000312,0.008767
0.255000,-0.000068,0.002111,-0.000311,0.008765
0.260000,-0.000069,0.000639,-0.000300,-0.007612
0.265000,-0.000071,0.000593,-0.000283,-0.007594
0.270000,-0.000072,0.000922,-0.000265,-0.003757
0.275000,-0.000073,0.000899,-0.000248,-0.003736
0.280000,-0.000074,0.000993,-0.000235,-0.002591
0.285000,-0.000076,0.000977,-0.000228,-0.002579
0.290000,-0.000077,0.000940,-0.000228,-0.002854
0.295000,-0.000078,0.000923,-0.000239,-0.002862
0.300000,-0.000079,0.000595,-0.000255,-0.006064
0.305000,-0.000080,0.000559,-0.000274,-0.006087
0.310000,-0.000082,0.001128,-0.000291,-0.000195
0.314999,-0.000083,0.001127,-0.000301,-0.000210
0.319999,-0.000085,0.001605,-0.000309,0.004478
0.324999,-0.000086,0.001632,-0.000317,0.004469
0.329999,-0.000088,0.000844,-0.000328,-0.003354
0.334999,-0.000090,0.000823,-0.000343,-0.003370
0.339999,-0.000091,-0.001381,-0.000360,-0.024394
0.344999,-0.000093,-0.001527,-0.000382,-0.024417
0.349999,-0.000095,-0.002116,-0.000407,-0.029094
