time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000000,0.300030
0.010000,0.000013,0.300057
0.015000,0.000034,0.300105
0.020000,0.000015,0.300143
0.025000,0.000036,0.300210
0.030000,0.000050,0.300260
0.035000,0.000071,0.300344
0.040000,0.000064,0.300407
0.045000,0.000078,0.300509
0.050000,0.000068,0.300583
0.055000,0.000077,0.300704
0.060000,0.000298,0.300790
0.065000,0.000354,0.300928
0.070000,0.000304,0.301027
0.075000,0.000344,0.301183
0.080000,0.000026,0.301293
0.085000,0.000039,0.301468
0.090000,0.000434,0.301590
0.095000,0.000514,0.301782
0.100000,0.000763,0.301916
0.105000,0.000869,0.302126
0.110000,0.000731,0.302272
0.115000,0.000812,0.302500
0.120000,0.000898,0.302658
0.125000,0.000982,0.302903
0.130000,0.001178,0.303073
0.135000,0.001276,0.303336
0.140000,0.001417,0.303518
0.145000,0.001523,0.303798
0.150000,0.001266,0.303992
0.155000,0.001341,0.304290
0.160000,0.000328,0.304495
0.165000,0.000309,0.304811
0.170000,0.000302,0.305028
0.175000,0.000284,0.305361
0.180000,0.000575,0.305590
0.185000,0.000581,0.305941
0.190000,0.001288,0.306180
0.195000,0.001349,0.306549
0.200000,0.001721,0.306800
0.205000,0.001808,0.307185
0.210000,0.002001,0.307448
0.215000,0.002098,0.307851
0.220000,0.002459,0.308125
0.225000,0.002577,0.308544
0.230000,0.002580,0.308830
0.235000,0.002693,0.309267
0.240000,0.003276,0.309563
0.245000,0.003424,0.310017
0.250000,0.002125,0.310325
0.255000,0.002180,0.310795
0.260000,0.000712,0.311114
0.265000,0.000669,0.311601
0.270000,0.000997,0.311931
0.275000,0.000976,0.312434
0.280000,0.001070,0.312775
0.285000,0.001056,0.313295
0.290000,0.001020,0.313647
0.295000,0.001005,0.314183
0.300000,0.000681,0.314546
0.305000,0.000647,0.315098
0.310000,0.001214,0.315471
0.314999,0.001215,0.316040
0.319999,0.001692,0.316424
0.324999,0.001721,0.317008
0.329999,0.000938,0.317403
0.334999,0.000920,0.318003
0.339999,0.001298,0.318408
0.344999,0.001442,0.319024
0.349999,0.002027,0.319439
0.354999,0.002199,0.320071
0.359999,0.002587,0.320497
0.364999,0.002774,0.321143
0.369999,0.002239,0.321579
0.374999,0.002389,0.322241
0.379999,0.002447,0.322688
0.384999,0.002595,0.323365
0.389999,0.002853,0.323821
0.394998,0.003010,0.324513
0.399998,0.002345,0.324979
0.404998,0.002460,0.325686
0.409998,0.002220,0.326162
0.414998,0.002318,0.326884
0.419998,0.001798,0.327370
0.424998,0.001865,0.328106
0.429998,0.002117,0.328602
0.434998,0.002194,0.329352
0.439998,0.002927,0.329857
0.444998,0.003041,0.330622
0.449998,0.004866,0.331137
0.454998,0.005071,0.331916
0.459998,0.005188,0.332440
0.464998,0.005392,0.333233
0.469997,0.003583,0.333766
0.474997,0.003686,0.334573
0.479997,0.002720,0.335115
0.484997,0.002770,0.335936
0.489997,0.003335,0.336487
0.494997,0.003413,0.337321
0.499997,0.003018,0.337882
0.504997,0.003073,0.338729
0.509997,0.002666,0.339298
0.514997,0.002698,0.340159
0.519997,0.002462,0.340737
0.524997,0.002482,0.341611
0.529997,0.002450,0.342198
0.534997,0.002466,0.343084
0.539997,0.002594,0.343680
0.544997,0.002616,0.344579
0.549996,0.001885,0.345183
0.554996,0.001870,0.346095
0.559996,0.000700,0.346707
0.564996,0.000637,0.347632
0.569996,0.001986,0.348252
0.574996,0.001984,0.349189
0.579996,0.001935,0.349818
0.584996,0.001930,0.350767
0.589996,0.002850,0.351404
0.594996,0.002891,0.352365
0.599996,0.003813,0.353010
